doc_id,category,text
DOC-0345,Compliance Document,"Data handling procedures comply with the Federal Information Security Modernization Act, as required by the contract. Section 508 compliance testing confirms the system meets accessibility requirements, as required by the contract. This Authority to Operate is granted based on an acceptable level of residual risk per the approved project plan. The contractor must submit annual compliance certifications including ethics and conflict of interest, as required by the contract. The Supply Chain Risk Management Plan addresses third-party hardware and software risks in accordance with applicable regulations."
DOC-0079,SOW,"The contractor shall not disclose any sensitive information obtained during performance, as required by the contract. The contractor is responsible for delivering the following tasks and deliverables. All deliverables shall be submitted in accordance with the Contract Deliverable Requirements List."
DOC-0060,RFP,"Proposals shall address all requirements outlined in the Performance Work Statement per the approved project plan. All proposals must be submitted electronically via the SAM.gov portal. The proposal evaluation criteria include technical approach, management, and price, as required by the contract."
DOC-0006,RFP,"The contracting officer anticipates award of a firm-fixed-price contract for, including all associated documentation. The Government intends to award a single Indefinite Delivery Indefinite Quantity contract, as required by the contract. The proposal evaluation criteria include technical approach, management, and price per the approved project plan."
DOC-0066,SOW,The Period of Performance for this task order is from date of award through per the approved project plan. The contractor shall provide subject matter expertise in the following domains per the approved project plan. The contractor shall support data collection analysis and reporting activities in accordance with applicable regulations.
DOC-0266,Deliverable Report,"This Data Management Plan describes how data will be collected stored and protected, as required by the contract. This Risk Register identifies mitigation strategies for the top program risks, as required by the contract. The Technical Design Document provides detailed specifications for the proposed system."
DOC-0364,Compliance Document,"The Privacy Impact Assessment evaluates risks to personally identifiable information, including all associated documentation. This FedRAMP authorization package demonstrates compliance with NIST SP 800-53 controls in accordance with applicable regulations. The Continuity of Operations Plan ensures mission-critical functions during disruptions in accordance with applicable regulations. Section 508 compliance testing confirms the system meets accessibility requirements."
DOC-0220,Invoice,"The contractor hereby submits this invoice for payment of labor hours incurred. Subcontractor costs as authorized under the contract are included on this invoice, as required by the contract. Payment is requested within 30 days of receipt per the prompt payment terms in accordance with applicable regulations. This invoice covers the period of performance from the first through the last day in accordance with applicable regulations."
DOC-0327,Compliance Document,"The contractor must submit annual compliance certifications including ethics and conflict of interest, as required by the contract. This Cybersecurity Maturity Model Certification assessment covers all required practices, including all associated documentation. The Continuity of Operations Plan ensures mission-critical functions during disruptions in accordance with applicable regulations."
DOC-0283,Deliverable Report,This Weekly Activity Report summarizes tasks completed issues encountered and planned work per the approved project plan. The Technical Design Document provides detailed specifications for the proposed system. The Final Report presents conclusions and recommendations based on the analysis conducted.
